Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
310,?lvaro Fidalgo,3,2,66.7,1.es Real Betis,es,Europe
311,Sherel Floranus,2,0,0,1.nl Zwolle,nl,Europe
312,Seko Fofana,5,1,20,1.pt Porto,pt,Europe
313,Yahia Fofana,0,0,,1.tr Rizespor,tr,Europe
314,Deveron Fonville,0,0,,1.nl NEC Nijmegen,nl,Europe
315,Yassin Fortun,0,0,,2.pt Vizela,pt,Europe
316,Lyle Foster,1,0,0,1.eng Burnley,eng,Europe
317,Alan Franco,0,0,,1.br Atltico Mineiro,br,Non-Europe
318,Alex Freeman,4,1,25,1.es Villarreal,es,Europe
319,Matt Freese,0,0,,1.us NYCFC,us,Non-Europe
320,Remo Freuler,2,1,50,1.it Bologna,it,Europe
321,Marco Friedl,0,0,,1.de Werder Bremen,de,Europe
322,Jurin Gaari,2,0,0,2.sa Abha,sa,Non-Europe
323,Jassem Gaber,0,0,,1.qa Al Rayyan SC,qa,Non-Europe
324,Cody Gakpo,10,6,60,1.eng Liverpool,eng,Europe
325,Mat¡as Galarza,2,1,50,1.us Atlanta Utd,us,Non-Europe
326,Hern n Gal¡ndez,0,0,,1.ar Hurac n,ar,Non-Europe
327,Jes£s Gallardo,4,0,0,1.mx Toluca,mx,Non-Europe
328,Ahmed Al-Ganehi,1,0,0,1.qa Al-Gharafa Sports Club,qa,Non-Europe
329,Ben Gannon-Doak,4,0,0,1.eng Bournemouth,eng,Europe
330,Eric Garc¡a,0,0,,1.es Barcelona,es,Europe
331,Gavi,1,0,0,1.es Barcelona,es,Europe
332,Jason Geria,0,0,,2.jp Albirex Niigata,jp,Non-Europe
333,Khalid Al Ghannam,0,0,,1.sa Al-Ettifaq,sa,Non-Europe
334,Ismal Gharbi,3,0,0,1.de Augsburg,de,Europe
335,Mehdi Ghayedi,1,0,0,1.ae Al-Nasr Dubai,ae,Non-Europe
336,Fars Ghedjemis,0,0,,2.it Frosinone,it,Europe
337,Saman Ghoddos,4,0,0,1.ae Al-Ittihad Kalba,ae,Non-Europe
338,Mohammad Ghorbani,2,1,50,1.ae Al-Wahda FC,ae,Non-Europe
339,Lee Gi-hyuk,0,0,,1.kr Gangwon FC,kr,Non-Europe
340,Armin Gigovic,0,0,,1.ch Young Boys,ch,Europe
341,Orlando Gill,0,0,,1.py San Lorenzo,py,Non-Europe
342,Santiago Gimnez,2,1,50,1.it Milan,it,Europe
