Rk,Player,Club,MP,Min,MinPerMatch
338,Nathan Patterson,1.eng Everton,3.0,185.0,61.666666666666664
339,Anthony Ralston,1.sct Celtic,2.0,11.0,5.5
340,Andy Robertson,1.eng Liverpool,3.0,225.0,75.0
341,Lawrence Shankland,1.sct Hearts,2.0,171.0,85.5
343,Ross Stewart,2.eng Southampton,1.0,2.0,2.0
344,Kieran Tierney,1.sct Celtic,2.0,104.0,52.0
346,Yunus Akgün,1.tr Galatasaray,2.0,88.0,44.0
347,Kerem Aktürkoğlu,1.tr Fenerbahçe,2.0,129.0,64.5
348,Barış Alper Yılmaz,1.tr Galatasaray,3.0,179.0,59.666666666666664
349,Oğuz Aydın,1.tr Fenerbahçe,1.0,89.0,89.0
350,Kaan Ayhan,1.tr Galatasaray,1.0,3.0,3.0
351,Abdülkerim Bardakcı,1.tr Galatasaray,3.0,265.0,88.33333333333333
353,Uğurcan Çakır,1.tr Galatasaray,3.0,270.0,90.0
354,Hakan Çalhanoğlu,1.it Inter,2.0,180.0,90.0
355,İrfan Can Kahveci,1.tr Kasımpaşa,1.0,1.0,1.0
356,Zeki Çelik,1.it Roma,2.0,163.0,81.5
357,Merih Demiral,1.sa Al-Ahli,2.0,180.0,90.0
358,Eren Elmalı,1.tr Galatasaray,2.0,111.0,55.5
359,Deniz Gül,1.pt Porto,2.0,37.0,18.5
360,Arda Güler,1.es Real Madrid,3.0,270.0,90.0
362,Ozan Kabak,1.de Hoffenheim,1.0,90.0,90.0
363,Ferdi Kadioglu,1.eng Brighton,2.0,159.0,79.5
364,Orkun Kökçü,1.tr Beşiktaş,3.0,153.0,51.0
365,Mert Müldür,1.tr Fenerbahçe,3.0,101.0,33.666666666666664
366,Salih Özcan,1.de Dortmund,2.0,100.0,50.0
367,Çağlar Söyüncü,1.tr Fenerbahçe,1.0,7.0,7.0
368,Can Uzun,1.de Frankfurt,2.0,38.0,19.0
369,Kenan Yıldız,1.it Juventus,3.0,218.0,72.66666666666667
370,İsmail Yüksek,1.tr Fenerbahçe,2.0,139.0,69.5
372,Jens Castrop,1.de Gladbach,1.0,45.0,45.0
374,Lee Gi-hyuk,1.kr Gangwon FC,3.0,270.0,90.0
375,Cho Gue-sung,1.dk Midtjylland,2.0,31.0,15.5
376,Lee Han-beom,1.dk Midtjylland,3.0,270.0,90.0
377,Hwang Hee-chan,1.eng Wolves,3.0,108.0,36.0
378,Son Heung-min,1.us LAFC,3.0,169.0,56.333333333333336
379,Oh Hyeon-gyu,1.tr Beşiktaş,3.0,129.0,43.0
381,Yang Hyun-jun,1.sct Celtic,1.0,20.0,20.0
382,Hwang In-beom,1.nl Feyenoord,3.0,263.0,87.66666666666667
383,Lee Jae-sung,1.de Mainz 05,2.0,117.0,58.5
384,Eom Ji-sung,2.eng Swansea City,2.0,42.0,21.0
385,Kim Jin-gyu,1.kr Jeonbuk,2.0,52.0,26.0
386,Park Jinseob,1.cn Zhejiang,2.0,32.0,16.0
388,Lee Kang-in,1.fr PSG,3.0,270.0,90.0
389,Kim Min-jae,1.de Bayern Munich,3.0,245.0,81.66666666666667
390,Kim Moon-hwan,1.kr Daejeon Hana,1.0,70.0,70.0
391,Kim Seung-gyu,1.jp FC Tokyo,3.0,270.0,90.0
392,Paik Seung-ho,2.eng Birmingham City,3.0,204.0,68.0
394,Lee Tae-seok,1.at Austria Wien,2.0,113.0,56.5
396,Seol Young-woo,1.rs Red Star,3.0,250.0,83.33333333333333
398,Ali Alipour,1.ir Persepolis,1.0,38.0,38.0
399,Alireza Beiranvand,1.ir Tractor,3.0,270.0,90.0
403,Saeid Ezatolahi,1.ae Al-Ahli Dubai FC,3.0,264.0,88.0
404,Mehdi Ghayedi,1.ae Al-Nasr Dubai,1.0,45.0,45.0
405,Saman Ghoddos,1.ae Al-Ittihad Kalba,3.0,208.0,69.33333333333333
406,Mohammad Ghorbani,1.ae Al-Wahda FC,1.0,90.0,90.0
407,Ehsan Hajsafi,1.ir Sepahan,2.0,91.0,45.5
408,Saleh Hardani,1.ir Esteghlal,2.0,90.0,45.0
410,Amirhossein Hosseinzadeh,1.ir Tractor,2.0,17.0,8.5
411,Alireza Jahanbakhsh,1.be Dender,2.0,46.0,23.0
412,Hossein Kanaanizadegan,1.ir Persepolis,2.0,135.0,67.5
413,Shoja' Khalilzadeh,1.ir Tractor,3.0,270.0,90.0
414,Shahriar Moghanlou,1.ae Al-Ittihad Kalba,3.0,88.0,29.333333333333332
415,Milad Mohammadi,1.ir Persepolis,3.0,205.0,68.33333333333333
416,Mohammad Mohebi,1.ru Rostov,3.0,244.0,81.33333333333333
